feature_idx,importance_mean,importance_max
695,8.110328662124548e-06,0.0
696,0.0036451836925169285,0.0
697,0.0,0.0
698,8.782844313166358e-06,0.0
699,0.0,0.0
700,0.0,0.0
701,0.0,1.7410622438712215e-06
702,8.035607250018405e-05,0.0
703,0.0,0.0
704,0.0,0.0
705,0.0,0.0
706,0.0,1.6608085186982696e-05
707,0.0,0.0
708,0.0,0.0
709,0.0,0.0
710,0.0007009613059397618,0.0
711,0.0,0.0
712,0.0,2.91858846321702e-05
713,1.2685994575308127e-06,0.0
714,3.737960518761115e-07,0.0
715,3.091625826941295e-06,0.0
716,0.0,0.0
717,0.0,0.0
718,0.0,0.0
719,0.0,0.0
720,0.0,0.0
721,0.0,0.0
722,0.0,0.0
723,0.0,0.0
724,0.0,0.0
725,0.0005279529497387226,0.0
726,5.273196571083232e-07,0.0
727,4.62924638255076e-06,4.9781663851304486e-06
728,0.0,0.0
729,0.0,0.0
730,0.0,0.0
731,0.0,0.0
732,0.0,0.0
733,0.0,0.0
734,0.0,0.0
735,0.0,0.0
736,6.784864619310776e-06,0.00018775589975782416
737,0.0,0.0
738,0.0,3.3095841486514967e-07
739,0.0,0.006374501380222765
740,0.0,0.0
741,5.19375996240838e-05,0.0
742,0.0,0.0
743,0.0,0.0
744,2.4917839433659206e-05,0.0
745,0.0,0.0
746,0.0,5.079356487840414e-06
747,0.0,0.0
748,3.3137518700889567e-06,0.0
749,4.957417364824902e-06,0.0
750,0.0,2.3842829554765063e-05
751,2.225412468595261e-05,0.0
752,0.0,0.0
753,0.00019947630871849304,0.0
754,0.0,0.0
755,4.626263610341332e-06,0.0
756,0.0,1.5071974220600994e-05
757,7.907620800489729e-07,0.0
758,0.0,0.0
759,0.00046174261687238787,0.0
760,0.0,0.0
761,0.0,2.0731611346656626e-05
762,2.3529213451018387e-05,0.0
763,0.0,0.0
764,0.0,0.0
765,0.0,0.0
766,0.0,2.5141483003442938e-05
767,0.0,0.0
768,0.0,0.0
769,0.0,0.0
770,4.4124464779584245e-05,0.0
771,0.0,0.0
772,0.0,0.0
773,6.090213840996677e-05,0.0
774,0.0,0.0
775,0.001773671313739297,0.0
776,0.0,0.0
777,0.0,4.030008884993466e-06
778,0.0,0.0
779,0.0,9.82366142455827e-07
780,0.0,0.0
781,0.0,0.0
782,0.0,0.00012071112467145377
783,0.0,0.0
784,0.0,4.7981715761125086e-05
785,0.0,0.0
786,0.0,0.0
787,0.0,0.0004048457496206869
788,0.0,0.0
789,0.0,5.070616237141869e-06
790,0.0,6.285236682742834e-05
791,0.0,0.0
792,0.0002275129528292878,0.0
793,3.6233827942685985e-05,0.0
794,0.0,1.1118236527016217e-05
795,5.353056571700356e-05,6.95343277501789e-06
796,3.450997385450385e-06,0.0
797,0.0006977013771062378,0.0007888982952995734
798,0.0,0.0
799,0.0,0.0001686273625289852
800,0.0,0.00013758063485676592
801,0.0,7.454552476040342e-07
802,0.0,0.0
803,0.0,0.005268638603262265
804,0.0,0.0
805,7.809906943955205e-05,2.972338697873056e-06
806,0.0,9.051154351750897e-08
807,9.539620612155307e-05,0.0
808,0.0,0.0
809,0.006652942123314874,0.0
810,0.0,0.0
811,2.96530461425639e-05,1.0699956593188373e-05
812,0.0,0.0
813,0.0,2.0702921954745596e-05
814,0.0,0.0
815,0.0,0.0
816,0.0,0.0
817,0.0,0.0
818,0.0,0.0
819,0.0,0.00014445235751653937
820,0.013659413171593438,2.6761827228421516e-06
821,0.0,0.0
822,0.0,0.0
823,0.0,1.6544303137131712e-06
824,0.0,0.0
825,0.0,0.0
826,2.896674876947972e-06,0.0
827,0.0,0.0
828,6.758783605288376e-06,0.0
829,0.0,0.0
830,0.0,0.0
831,0.0,4.7044689894061196e-05
832,0.0,0.0
833,0.0,0.0
834,5.165414038029584e-05,8.177320388230411e-06
835,0.0,0.0
836,0.0,0.0016861170056191358
837,7.405650632625276e-07,0.0
838,0.0,0.0
839,0.0,0.0
840,0.0015626779460051858,0.0
841,0.0,0.0
